IdProducto	IdFechaOrden	IdFechaProducción	IdFechaEntrega	IdCliente	IdPromoción	IdMoneda	IdTerritorio	IdOrden	NumLineaOrden	NumRevisión	Cantidad	Precio	ImporteExtendido	DescuentoUnitario	Descuento	Coste	CosteTotal	Ventas	IVA	Portes	IdSeguimiento	PONumCliente	FechaOrden	FechaProducción	FechaEntrega	Categoría	Subcategoría	Producto	Nombres	Apellidos	Género	EstadoCivil	Ciudad	País
310	20101229	20110110	20110105	21768	1	19	6	SO43697	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2010-12-29 00:00:00.000	2011-01-10 00:00:00.000	2011-01-05 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Cole	Watson	M	S	Metchosin	Canada
346	20101229	20110110	20110105	28389	1	39	7	SO43698	1	1	1	3399,99	3399,99	0	0	1912,1544	1912,1544	3399,99	271,9992	84,9998	NULL	NULL	2010-12-29 00:00:00.000	2011-01-10 00:00:00.000	2011-01-05 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, plateada, 44	Rachael	Martinez	F	S	Pantin	France
346	20101229	20110110	20110105	25863	1	100	1	SO43699	1	1	1	3399,99	3399,99	0	0	1912,1544	1912,1544	3399,99	271,9992	84,9998	NULL	NULL	2010-12-29 00:00:00.000	2011-01-10 00:00:00.000	2011-01-05 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, plateada, 44	Sydney	Wright	F	S	Lebanon	United States
336	20101229	20110110	20110105	14501	1	100	4	SO43700	1	1	1	699,0982	699,0982	0	0	413,1463	413,1463	699,0982	55,9279	17,4775	NULL	NULL	2010-12-29 00:00:00.000	2011-01-10 00:00:00.000	2011-01-05 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 650, negra, 62	Ruben	Prasad	M	M	Beverly Hills	United States
346	20101229	20110110	20110105	11003	1	6	9	SO43701	1	1	1	3399,99	3399,99	0	0	1912,1544	1912,1544	3399,99	271,9992	84,9998	NULL	NULL	2010-12-29 00:00:00.000	2011-01-10 00:00:00.000	2011-01-05 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, plateada, 44	Christy	Zhu	F	S	North Ryde	Australia
311	20101230	20110111	20110106	27645	1	100	4	SO43702	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2010-12-30 00:00:00.000	2011-01-11 00:00:00.000	2011-01-06 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Colin	Anand	M	M	Coronado	United States
310	20101230	20110111	20110106	16624	1	6	9	SO43703	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2010-12-30 00:00:00.000	2011-01-11 00:00:00.000	2011-01-06 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Albert	Alvarez	M	S	Perth	Australia
351	20101230	20110111	20110106	11005	1	6	9	SO43704	1	1	1	3374,99	3374,99	0	0	1898,0944	1898,0944	3374,99	269,9992	84,3748	NULL	NULL	2010-12-30 00:00:00.000	2011-01-11 00:00:00.000	2011-01-06 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, negra, 48	Julio	Ruiz	M	S	East Brisbane	Australia
344	20101230	20110111	20110106	11011	1	6	9	SO43705	1	1	1	3399,99	3399,99	0	0	1912,1544	1912,1544	3399,99	271,9992	84,9998	NULL	NULL	2010-12-30 00:00:00.000	2011-01-11 00:00:00.000	2011-01-06 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, plateada, 38	Curtis	Lu	M	M	East Brisbane	Australia
312	20101231	20110112	20110107	27621	1	100	4	SO43706	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2010-12-31 00:00:00.000	2011-01-12 00:00:00.000	2011-01-07 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Edward	Brown	M	S	Santa Monica	United States
